id,title,category,github_stars,url,github_url,description,added_at
1,skillgrade,agents,480,https://github.com/mgechev/skillgrade,,Unit tests for agent skills — run assertions against agent skill outputs the same way you'd test code,2026-05-19 00:00:00+00
2,agent-skills-eval,agents,508,https://github.com/darkrishabh/agent-skills-eval,,Test runner for agentskills.io-style skills with YAML-based scenarios and LLM judges,2026-05-19 00:00:00+00
3,eval-view,agents,,https://github.com/hidai25/eval-view,,"Regression testing for AI agents — snapshot behavior, diff tool calls, catch regressions in CI",2026-05-19 00:00:00+00
4,agent-belt,agents,,https://github.com/jfrog/agent-belt,,"Reproducible evaluation for AI coding agents — multi-turn scenarios, rich assertions, multi-judge consensus",2026-05-19 00:00:00+00
5,contrabass,orchestration,151,https://github.com/junhoyeo/contrabass,,Project-level orchestrator for AI coding agents — Go + Charm TUI implementation of OpenAI's Symphony SPEC.md,2026-05-19 00:00:00+00
7,TraceFix,orchestration,,https://ortiz.rutgers.edu/projects/tracefix/,,Uses TLA+ counterexamples to repair multi-agent LLM coordination protocols before deployment,2026-05-19 00:00:00+00
8,Raindrop Workshop,agents,665,https://github.com/raindrop-ai/workshop,,"Local debugger for AI agents — live streamed traces of every token, tool call, and decision with self-healing eval loops",2026-05-19 00:00:00+00
9,claude-mem,memory,77506,https://github.com/thedotmack/claude-mem,,"Persistent context across sessions for coding agents — captures session activity, compresses with AI, injects into future sessions",2026-05-19 00:00:00+00
10,12-Factor Agents,agents,,https://github.com/humanlayer/12-factor-agents,,"Engineering principles for building production-grade LLM-powered software — agents as software with LLM steps, not prompt loops",2026-05-19 00:00:00+00
12,Context7,tools,,https://github.com/upstash/context7,,Up-to-date code documentation delivered to LLMs and code editors via MCP — solves the stale-doc problem for coding agents,2026-05-19 00:00:00+00
13,Chrome DevTools MCP,mcp,,https://github.com/ChromeDevTools/chrome-devtools-mcp,,"Official Chrome DevTools exposed as MCP server — lets coding agents inspect, debug, and profile web apps directly",2026-05-19 00:00:00+00
14,Lapdog (Datadog),observability,,https://lapdog.datadoghq.com/,,"Local agent tracer — traces reasoning and tool calls from Codex, Claude Code, and Pi in real time, no account required",2026-05-19 00:00:00+00
15,Retrieval Routing: vector + GraphRAG + PageIndex,retrieval,,https://x.com/NullS0S/status/2056383310830735676,,"Production pattern: route queries across vector RAG, GraphRAG, and PageIndex based on query type using a lightweight classifier before retrieval",2026-05-19 00:00:00+00
17,Ruflo,orchestration,54181,https://github.com/ruvnet/ruflo,,Agent orchestration platform for Claude — deploy multi-agent workflows with a visual builder and structured output routing,2026-05-19 00:00:00+00
18,pentest-ai,security,268,https://github.com/0xSteph/pentest-ai,,Offensive security MCP server — wraps 205 pentesting tools and 17 specialist agents behind a single MCP interface,2026-05-19 00:00:00+00
20,Warp Oz Multi-Agent Orchestration,orchestration,,https://x.com/warpdotdev/status/2056772856835453395,,"Multi-agent orchestration in Warp's Oz — delegate complex tasks across Claude Code, Codex, and Warp Agent with worktree isolation and message passing",2026-05-19 00:00:00+00
21,Plano,infrastructure,,https://github.com/katanemo/plano,,"AI-native proxy and data plane for agentic apps — LLM routing, safety guardrails, orchestration, and observability in one Rust proxy",2026-05-19 00:00:00+00
22,Cozeloop,infrastructure,,https://github.com/coze-dev/coze-loop,,"Full-lifecycle agent optimization platform — dev, debug, eval, and monitor agents from a single Go service",2026-05-19 00:00:00+00
23,CubeSandbox,infrastructure,,https://github.com/TencentCloud/CubeSandbox,,"Hardware-isolated sandbox for AI agents built on RustVMM + KVM — boots in under 60ms, uses less than 5MB per instance",2026-05-20 00:00:00+00
24,Open Multi-Agent,orchestration,,https://github.com/open-multi-agent/open-multi-agent,,"TypeScript-native multi-agent orchestration — turns a goal into a task DAG automatically, with MCP and live tracing, three runtime dependencies",2026-05-20 00:00:00+00
25,Sandcastle,orchestration,,https://github.com/mattpocock/sandcastle,,"Orchestrate sandboxed coding agents in TypeScript with sandcastle.run() — single API call spins up an isolated agent on Docker, Podman, or Vercel Firecracker microVMs",2026-05-20 00:00:00+00
26,"Context Mode — Context Window Optimization for AI Coding Agents (15.5K Stars, HN #1)",agents,15467,https://github.com/mksglu/context-mode,,"Context window optimization for AI coding agents — sandboxes tool output, claims 98% reduction in context usage across 15 platforms",2026-05-20 00:00:00+00
27,"DeerFlow — ByteDance SuperAgent with Sandboxes, Memory, Skills, Subagents (69K Stars)",agent_infrastructure,69172,https://github.com/bytedance/deer-flow,https://github.com/bytedance/deer-flow,"Open-source long-horizon SuperAgent by ByteDance that researches, codes, and creates. Uses sandboxes, memories, tools, skills, subagents and message gateway to handle tasks from minutes to hours.",2026-05-19 00:00:00+00
28,"OpenSandbox — Secure, Fast Sandbox Runtime for AI Agents from Alibaba (10.8K Stars)",infrastructure,10780,https://github.com/alibaba/OpenSandbox,,"Secure sandbox runtime for AI agents from Alibaba — extensible plugin architecture for isolation, resource limits, and policy enforcement",2026-05-20 00:00:00+00
29,Microsandbox — Unexploitable Secrets for AI Agents via Hardware-Isolated microVMs (6.2K Stars),infrastructure,6196,https://github.com/superradcompany/microsandbox,,"Spins up lightweight VMs in milliseconds. Hardware-level isolation. Rootless, embeddable SDK. Key feature: secrets that can't leak — unexploitable secret keys that never enter the VM. Every other sandbox tries to contain what the agent does. This one prevents what the agent can ever know. Written in Rust. Under 100ms boot time.",2026-05-20 00:00:00+00
30,Memori,agents,,https://github.com/MemoriLabs/Memori,,"Agent-native memory infrastructure — LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems",2026-05-20 00:00:00+00
48,MassGen,orchestration,1034,https://github.com/massgen/MassGen,,"Open-source multi-agent scaling system with TUI — agents work in parallel, vote on best solutions via consensus, with checklist-gated quality rounds",2026-05-19 00:00:00+00
62,Agent Orchestrator,agent-infrastructure,7179,https://github.com/ComposioHQ/agent-orchestrator,,"Parallel coding agent orchestrator that plans tasks, spawns agents via tmux+git worktrees, and autonomously handles CI fixes, merge conflicts, and code reviews.",2026-05-21 10:57:53.806356+00
63,ByteRover CLI,agent-infrastructure,4769,https://github.com/campfirein/byterover-cli,,Portable memory layer for autonomous coding agents. Formerly Cipher. Works as MCP server providing persistent context across sessions.,2026-05-21 10:57:53.806356+00
64,cc-sdd (Spec-Driven Development),agents-frameworks,3374,https://github.com/gotalab/cc-sdd,,"Turns approved specs into long-running autonomous implementation. Minimal SDD harness with agent skills for Claude Code, Codex, Cursor, Copilot, Gemini CLI.",2026-05-21 10:57:53.806356+00
65,agentmemory,agent-memory,15516,https://github.com/rohitg00/agentmemory,,"Persistent memory for AI coding agents based on real-world benchmarks. Records what your agent does during every session, compresses it with AI, injects the right context back when the next session starts. Works with Claude Code, Codex, Cursor, Hermes. 4-layer memory architecture: working, episodic, semantic, procedural. 95.2% retrieval accuracy at top-5 on LongMemEval-S.",2026-05-21 11:36:13.447747+00
