id,title,description,category,github_url,github_stars,is_indexed,added_at
412,The Agentic Risk — Prompt Injection Attack Surface in AI Coding Agents,Talk by Fernando covering the attack surface prompt injection opens in AI coding agents. Demo: agent tricked into leaking .env by fetching a malicious docs page. Coding agents read attacker text with write access to your repo.,agent_security,,,t,2026-05-24 03:34:40.919506+00
411,Rivet Reverse-Engineered Docker Sandbox Undocumented MicroVM API for Agent Sandboxing,Rivet.dev reverse-engineered the undocumented Docker MicroVM API to build production agent sandboxing. Teams hacking container runtime because agent sandboxing tooling is inadequate.,agent_security,,,t,2026-05-24 03:34:40.919506+00
409,"MEGALODON — Largest GitHub Actions Supply Chain Attack: 5,561 Repos, 449 GB Credentials Stolen in 6 Hours","Attackers used throwaway GitHub accounts and forged CI bot names to push malicious GitHub Actions workflows to 5,561 repos in 6 hours. Stole cloud credentials, SSH keys, OIDC tokens, and source code secrets across 5,718 malicious commits. Hudson Rock traced root cause to infostealer logs — 33% of attacker usernames matched known infected machines, rising to ~100% with deeper analysis. 24,000+ companies have employees with compromised GitHub credentials in infostealer logs. Accenture alone has 10+ infected employees with GitHub access.",agent_security,,,t,2026-05-24 03:05:29.208147+00
408,LMDeploy CVE-2026-33626 — SSRF in LLM Inference Exploited 12h After Advisory (CVSS 7.5),"SSRF in LMDeploy vision-language module load_image(). No hostname validation. Attacker turns image loader into HTTP probe for AWS IMDS, Redis, MySQL. First exploit 12h31m after advisory. 35 CVEs hit AI inference/coding tooling in one month.",agent_security,,,t,2026-05-24 02:38:18.692219+00
404,DryRun Security Study — 26 of 30 Agent PRs Introduced Real Vulnerabilities,"DryRun Security tested 30 pull requests generated by AI coding agents. 26 contained real security vulnerabilities. Broken access control appeared in every model tested — Claude Code, OpenAI Codex, Gemini all failed.",agent_security,"",,t,2026-05-24 02:06:21.362323+00
403,Kapso MCP — WhatsApp Phone Numbers for AI Agents via MCP Server,"Add MCP server, get a WhatsApp number for your agent. Two commands. Launch tweet got 217K views and 1,650 likes.",agent_infra,"",,t,2026-05-24 02:06:21.359851+00
402,Patient Zero — Supply-Chain Attack Scanner for the Agent Era (30s Triage via npx),npx patient-zero triages agent dependencies in 30 seconds. Blocks malicious installs before they reach your agent runtime. Built for the new supply chain threat model where agents install and execute third-party tools.,agent_security,https://github.com/0xSteph/patient-zero,2,t,2026-05-24 02:06:21.357482+00
399,mcpaudit — Static Pre-Install Security Scanner for MCP Servers (npx mcpaudit),"Run npx mcpaudit before installing any MCP server. Static scanner flags command injection, path traversal, and unsafe eval patterns in MCP server code.",agent_security,https://github.com/allenwu-blip/mcpaudit,4,t,2026-05-24 02:06:21.352533+00
398,Agent3σ-Canary — Ant Group Evaluation Framework for AI Agent Security in Realistic Runtimes,Ant Group (Alipay) open-sourced an evaluation framework for testing AI agent security in realistic runtime environments. Tests agents against adversarial conditions in production-like settings.,agent_security,https://github.com/antgroup/Agent3Sigma-Canary,8,t,2026-05-24 02:06:21.349026+00
394,OmniAgent — Self-Evolving Agent That Dynamically Hardens Its Own Security (1.3K Stars),"An AI agent that modifies its own behavior based on threat patterns. Self-evolving security hardening — the agent learns from attacks and patches its own defenses in real-time. 1,341 stars, 225 forks, Python, created April 2026. Contrarian angle: while everyone builds agents to attack, this one builds itself to defend.",agent_security,https://github.com/YeQing17-2026/OmniAgent,1341,t,2026-05-24 01:39:35.835395+00
