id,added_at,source,type,category,title,url,description,why_interesting,author_handle,github_stars,github_url,license,is_indexed,tags
1,2026-05-19 00:00:00+00,github,project,agent_framework,skillgrade,https://github.com/mgechev/skillgrade,Unit tests for agent skills — run assertions against agent skill outputs the same way you'd test code,Solves the 'how do I know my agent skill actually works' problem with a familiar test-runner interface. From Minko Gechev (Angular team). 480 stars in ~3 months.,mgechev,493,,,t,
2,2026-05-19 00:00:00+00,github,project,agent_framework,agent-skills-eval,https://github.com/darkrishabh/agent-skills-eval,Test runner for agentskills.io-style skills with YAML-based scenarios and LLM judges,"508 stars in 2 weeks. The agentskills.io spec is getting traction and this gives it a proper eval framework. TypeScript, works with OpenAI-compatible APIs.",darkrishabh,508,,,t,
3,2026-05-19 00:00:00+00,github,project,agent_framework,eval-view,https://github.com/hidai25/eval-view,"Regression testing for AI agents — snapshot behavior, diff tool calls, catch regressions in CI","Works with LangGraph, CrewAI, OpenAI, Anthropic. The snapshot-diff approach is exactly what agent teams need but few build. Python/pytest-based.",hidai25,,,,t,
4,2026-05-19 00:00:00+00,twitter,project,agent_framework,agent-belt,https://github.com/jfrog/agent-belt,"Reproducible evaluation for AI coding agents — multi-turn scenarios, rich assertions, multi-judge consensus","From JFrog's engineering team. Runs eval scenarios against Claude Code, Codex, Copilot, or any agent you plug in. Open source, CLI-based. Fills the 'how do I test my coding agent doesn't break' gap.",jfrog,,,,t,
5,2026-05-19 00:00:00+00,github,project,orchestration,contrabass,https://github.com/junhoyeo/contrabass,Project-level orchestrator for AI coding agents — Go + Charm TUI implementation of OpenAI's Symphony SPEC.md,"First real implementation of the Symphony spec. Go binary, TUI interface, coordinates Codex/Claude Code agents. 151 stars, actively maintained. The 'one orchestrator, many coding CLIs' pattern is where agent infra is heading.",junhoyeo,151,,,t,
7,2026-05-19 00:00:00+00,twitter,paper,orchestration,TraceFix,https://ortiz.rutgers.edu/projects/tracefix/,Uses TLA+ counterexamples to repair multi-agent LLM coordination protocols before deployment,"Formal methods applied to agent coordination. Instead of testing protocols after they fail, TLA+ finds violations upfront and generates repairs. CAISconf 2026 paper by Rutgers team.",jortiz81,,,,t,
8,2026-05-19 00:00:00+00,github,project,agent_framework,Raindrop Workshop,https://github.com/raindrop-ai/workshop,"Local debugger for AI agents — live streamed traces of every token, tool call, and decision with self-healing eval loops","Solves the 'agent debugging is blind' problem. You can watch agents think in real time, and Claude Code reads the traces, writes evals, and fixes bugs autonomously. MIT license, 665 stars in 18 days. Works with every major SDK and coding agent.",raindrop_ai,665,,,t,
9,2026-05-19 00:00:00+00,github,project,agent_memory,claude-mem,https://github.com/thedotmack/claude-mem,"Persistent context across sessions for coding agents — captures session activity, compresses with AI, injects into future sessions","Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot. 76k stars, v13.2, active commits. Solves the real problem of agents starting from zero every session. SQLite + ChromaDB + embeddings under the hood.",thedotmack,77506,,,t,
10,2026-05-19 00:00:00+00,github,project,agent_framework,12-Factor Agents,https://github.com/humanlayer/12-factor-agents,"Engineering principles for building production-grade LLM-powered software — agents as software with LLM steps, not prompt loops","21k stars. The core insight: agents are software with LLM calls placed strategically, not 'prompt + tools + loop'. Own your prompts, typed tools, human-in-the-loop as first-class, stateless reducer pattern. This is the production playbook most agent projects lack.",humanlayer,,,,t,
12,2026-05-19 00:00:00+00,github,project,agent_tools,Context7,https://github.com/upstash/context7,Up-to-date code documentation delivered to LLMs and code editors via MCP — solves the stale-doc problem for coding agents,"55k stars, MIT. The real issue: every coding agent guesses APIs from training data that's months old. Context7 injects fresh docs at query time. Works as MCP server, integrates with Claude Code, Cursor, Windsurf, Codex. Built by Upstash. The 'documentation as context' pattern is a missing infra layer for agent reliability.",upstash,,,,t,
